Obs10226.3_VD150cm_I3_T06_F0006 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0012 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0018 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0024 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0030 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0036 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0042 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0048 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0054 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0060 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0066 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0072 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0078 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0084 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0090 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0096 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0102 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0108 NaN 9 
Obs10226.3_VD150cm_I3_T06_F0114 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0006 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0012 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0018 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0024 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0030 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0036 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0042 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0048 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0054 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0060 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0066 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0072 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0078 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0084 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0090 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0096 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0102 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0108 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0114 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0120 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0126 NaN 9 
Obs10226.3_VD150cm_I3_T09_F0132 NaN 9 
